Return Visits,Mobile Phone,Non-Mobile Phone,MOFA Page Template,Showroom Page Template,Configuration Load,DCC,Date,Visits,Unique Visitors,Share of Non-Single Page Visits,Single Page Visits,Time Spent per Visit,Bounce Rate
0,1,0,0,0,0,0,"June 05, 2022",22201,22201,0.22,17278,136,0.283140399
0,1,0,0,0,0,1,"June 05, 2022",103,103,1,0,112,0
0,1,0,0,0,1,0,"June 05, 2022",2903,2903,0.69,892,343,0
0,1,0,0,1,0,0,"June 05, 2022",16636,16636,0.2,13272,88,0.265087761
0,1,0,1,0,0,0,"June 05, 2022",3643,3643,0.72,1026,6,0.004391985
0,0,1,0,0,0,0,"June 05, 2022",28940,28940,0.25,21831,162,0.289979267
0,0,1,0,0,0,1,"June 05, 2022",157,157,1,0,112,0
0,0,1,0,0,1,0,"June 05, 2022",4073,4073,0.76,982,426,0
0,0,1,0,1,0,0,"June 05, 2022",21583,21583,0.24,16509,94,0.265903721
0,0,1,1,0,0,0,"June 05, 2022",5198,5198,0.77,1180,7,0.003270489
1,1,0,0,0,0,0,"June 05, 2022",5831,4680,0.36,3721,224,0.308694907
1,1,0,0,0,0,1,"June 05, 2022",35,34,0.89,4,108,0.085714286
1,1,0,0,0,1,0,"June 05, 2022",948,777,0.66,319,456,0.006329114
1,1,0,0,1,0,0,"June 05, 2022",3511,3126,0.29,2496,113,0.323839362
1,1,0,1,0,0,0,"June 05, 2022",1240,1002,0.6,493,12,0.060483871
1,0,1,0,0,0,0,"June 05, 2022",8056,6386,0.42,4662,311,0.276191658
1,0,1,0,0,0,1,"June 05, 2022",81,75,0.93,6,265,0.061728395
1,0,1,0,0,1,0,"June 05, 2022",1721,1395,0.77,400,646,0.003486345
1,0,1,0,1,0,0,"June 05, 2022",4824,4273,0.37,3034,121,0.283167496
1,0,1,1,0,0,0,"June 05, 2022",2227,1780,0.71,645,13,0.037718904
