Return Visits,Mobile Phone,Non-Mobile Phone,MOFA Page Template,Showroom Page Template,Configuration Load,DCC,Date,Visits,Unique Visitors,Share of Non-Single Page Visits,Single Page Visits,Time Spent per Visit,Bounce Rate
0,1,0,0,0,0,0,"June 04, 2022",7266,7266,0.22,5673,137,0.251857969
0,1,0,0,0,0,1,"June 04, 2022",28,28,1,0,128,0
0,1,0,0,0,1,0,"June 04, 2022",903,903,0.73,241,377,0
0,1,0,0,1,0,0,"June 04, 2022",5705,5705,0.2,4588,89,0.234881683
0,1,0,1,0,0,0,"June 04, 2022",1135,1135,0.75,289,6,0.001762115
0,0,1,0,0,0,0,"June 04, 2022",8838,8838,0.23,6827,153,0.276872596
0,0,1,0,0,0,1,"June 04, 2022",38,38,1,0,122,0
0,0,1,0,0,1,0,"June 04, 2022",1131,1131,0.77,256,427,0
0,0,1,0,1,0,0,"June 04, 2022",6948,6948,0.21,5503,93,0.261514105
0,0,1,1,0,0,0,"June 04, 2022",1426,1426,0.78,312,8,0.001402525
1,1,0,0,0,0,0,"June 04, 2022",1838,1647,0.35,1195,194,0.266050054
1,1,0,0,0,0,1,"June 04, 2022",7,7,1,0,159,0
1,1,0,0,0,1,0,"June 04, 2022",281,253,0.68,89,419,0.010676157
1,1,0,0,1,0,0,"June 04, 2022",1252,1174,0.28,900,107,0.278753994
1,1,0,1,0,0,0,"June 04, 2022",361,317,0.64,131,18,0.049861496
1,0,1,0,0,0,0,"June 04, 2022",2284,2032,0.38,1411,262,0.264010508
1,0,1,0,0,0,1,"June 04, 2022",14,14,1,0,138,0
1,0,1,0,0,1,0,"June 04, 2022",435,395,0.76,103,579,0.006896552
1,0,1,0,1,0,0,"June 04, 2022",1542,1440,0.32,1043,111,0.274967575
1,0,1,1,0,0,0,"June 04, 2022",548,485,0.71,157,15,0.040145985
