Return Visits,Mobile Phone,Non-Mobile Phone,MOFA Page Template,Showroom Page Template,Configuration Load,DCC,Date,Carline,Visits,Unique Visitors,Share of Non-Single Page Visits,Single Page Visits,Time Spent per Visit,Bounce Rate
0,1,0,0,0,0,0,"June 04, 2022",::unspecified::,7245,7245,0.22,5656,118,0.255486775
0,1,0,0,0,0,0,"June 04, 2022",California 6.1,141,141,0.7,43,108,0.118644068
0,1,0,0,0,0,0,"June 04, 2022",California,92,92,0.89,10,193,0
0,1,0,0,0,0,0,"June 04, 2022",Multivan,60,60,0.95,3,322,0.166666667
0,1,0,0,0,0,0,"June 04, 2022",Caddy California,54,54,0.96,2,259,0
0,1,0,0,0,0,0,"June 04, 2022",Multivan 6.1,44,44,0.8,9,130,0.083333333
0,1,0,0,0,0,0,"June 04, 2022",Caravelle 6.1,42,42,0.83,7,218,0.142857143
0,1,0,0,0,0,0,"June 04, 2022",Caddy,37,37,0.78,8,356,0.1875
0,1,0,0,0,0,0,"June 04, 2022",Transporter 6.1 Furgon,32,32,0.84,5,292,0
0,1,0,0,0,0,0,"June 04, 2022",Crafter Furgon,21,21,0.67,7,104,0
0,1,0,0,0,0,0,"June 04, 2022",Caddy Cargo,11,11,1,0,88,0
0,1,0,0,0,0,0,"June 04, 2022",Crafter,9,9,0.67,3,36,0
0,1,0,0,0,0,0,"June 04, 2022",Multivan 6.1 Edition,9,9,0.89,1,26,0
0,1,0,0,0,0,0,"June 04, 2022",Transporter 6.1 Kombi,8,8,0.88,1,82,0
0,1,0,0,0,0,0,"June 04, 2022",Transporter 6.1 Skrzyniowy,3,3,1,0,1407,0
0,1,0,0,0,0,0,"June 04, 2022",Crafter Skrzyniowy,3,3,1,0,251,0
0,1,0,0,0,0,0,"June 04, 2022",Amarok,2,2,0.5,1,32,1
0,1,0,0,0,0,0,"June 04, 2022",Crafter Podwozie,1,1,1,0,1363,0
0,1,0,0,0,0,0,,,,,,,,
