Return Visits,Mobile Phone,Non-Mobile Phone,MOFA Page Template,Showroom Page Template,Configuration Load,DCC,Date,Channel,Visits,Unique Visitors,Share of Non-Single Page Visits,Single Page Visits,Time Spent per Visit,Bounce Rate
0,1,0,0,0,0,0,"June 04, 2022",Unknown Channel,5515,5515,0.15,4695,81,0.269547702
0,1,0,0,0,0,0,"June 04, 2022",Referring Domains,1050,1050,0.74,271,294,0.10516934
0,1,0,0,0,0,0,"June 04, 2022",Social Networks,576,576,0.42,332,161,0.243816254
0,1,0,0,0,0,0,"June 04, 2022",Display OA,287,287,0.53,134,95,0.382978723
0,1,0,0,0,0,0,"June 04, 2022",Natural Search,267,267,0.43,153,142,0.184738956
0,1,0,0,0,0,0,"June 04, 2022",Direct,126,126,0.62,48,190,0.071428571
0,1,0,0,0,0,0,"June 04, 2022",Paid Search,66,66,0.24,50,70,0.262295082
0,1,0,0,0,0,0,,,,,,,,
0,1,0,0,0,0,1,"June 04, 2022",Referring Domains,28,28,1,0,128,0
0,1,0,0,0,0,1,"June 04, 2022",Social Networks,1,1,1,0,0,0
0,1,0,0,0,0,1,"June 04, 2022",Unknown Channel,0,0,0,0,0,0
0,1,0,0,0,0,1,"June 04, 2022",Direct,0,0,0,0,0,0
0,1,0,0,0,0,1,"June 04, 2022",Natural Search,0,0,0,0,0,0
0,1,0,0,0,0,1,,,,,,,,
0,1,0,0,0,0,1,,,,,,,,
0,1,0,0,0,0,1,,,,,,,,
0,1,0,0,0,1,0,"June 04, 2022",Referring Domains,582,582,0.89,65,407,0
0,1,0,0,0,1,0,"June 04, 2022",Social Networks,317,317,0.48,165,180,0
0,1,0,0,0,1,0,"June 04, 2022",Unknown Channel,243,243,1,0,118,0
0,1,0,0,0,1,0,"June 04, 2022",Natural Search,59,59,1,0,231,0
0,1,0,0,0,1,0,"June 04, 2022",Direct,28,28,0.54,13,202,0
0,1,0,0,0,1,0,"June 04, 2022",Display OA,9,9,1,0,165,0
0,1,0,0,0,1,0,"June 04, 2022",Paid Search,2,2,1,0,36,0
0,1,0,0,0,1,0,,,,,,,,
0,1,0,0,1,0,0,"June 04, 2022",Unknown Channel,4701,4701,0.13,4097,83,0.242857143
0,1,0,0,1,0,0,"June 04, 2022",Referring Domains,559,559,0.72,157,116,0.123076923
0,1,0,0,1,0,0,"June 04, 2022",Natural Search,217,217,0.42,126,90,0.129186603
0,1,0,0,1,0,0,"June 04, 2022",Display OA,144,144,0.15,122,117,0.573529412
0,1,0,0,1,0,0,"June 04, 2022",Social Networks,85,85,0.74,22,108,0.091666667
0,1,0,0,1,0,0,"June 04, 2022",Paid Search,50,50,0.06,47,76,0.285714286
0,1,0,0,1,0,0,"June 04, 2022",Direct,30,30,0.27,22,186,0.157894737
0,1,0,0,1,0,0,,,,,,,,
0,1,0,1,0,0,0,"June 04, 2022",Referring Domains,682,682,0.85,100,6,0.002840909
0,1,0,1,0,0,0,"June 04, 2022",Social Networks,344,344,0.52,166,3,0.00280112
0,1,0,1,0,0,0,"June 04, 2022",Unknown Channel,71,71,1,0,6,0
0,1,0,1,0,0,0,"June 04, 2022",Natural Search,57,57,0.91,5,14,0
0,1,0,1,0,0,0,"June 04, 2022",Direct,25,25,0.32,17,6,0
0,1,0,1,0,0,0,"June 04, 2022",Display OA,1,1,1,0,4,0
0,1,0,1,0,0,0,"June 04, 2022",Paid Search,1,1,0,1,2,0
0,1,0,1,0,0,0,,,,,,,,
0,0,1,0,0,0,0,"June 04, 2022",Unknown Channel,6651,6651,0.15,5655,84,0.310015175
0,0,1,0,0,0,0,"June 04, 2022",Referring Domains,1415,1415,0.76,342,325,0.08281054
0,0,1,0,0,0,0,"June 04, 2022",Social Networks,597,597,0.42,346,160,0.250425894
0,0,1,0,0,0,0,"June 04, 2022",Natural Search,362,362,0.45,198,163,0.18452381
0,0,1,0,0,0,0,"June 04, 2022",Display OA,357,357,0.47,190,97,0.330033003
0,0,1,0,0,0,0,"June 04, 2022",Direct,156,156,0.62,60,174,0.083333333
0,0,1,0,0,0,0,"June 04, 2022",Paid Search,67,67,0.25,50,70,0.262295082
0,0,1,0,0,0,0,,,,,,,,
0,0,1,0,0,0,1,"June 04, 2022",Referring Domains,38,38,1,0,122,0
0,0,1,0,0,0,1,"June 04, 2022",Social Networks,1,1,1,0,0,0
0,0,1,0,0,0,1,"June 04, 2022",Unknown Channel,0,0,0,0,0,0
0,0,1,0,0,0,1,"June 04, 2022",Direct,0,0,0,0,0,0
0,0,1,0,0,0,1,"June 04, 2022",Display OA,0,0,0,0,0,0
0,0,1,0,0,0,1,"June 04, 2022",Natural Search,0,0,0,0,0,0
0,0,1,0,0,0,1,,,,,,,,
0,0,1,0,0,0,1,,,,,,,,
0,0,1,0,0,1,0,"June 04, 2022",Referring Domains,791,791,0.91,75,453,0
0,0,1,0,0,1,0,"June 04, 2022",Social Networks,325,325,0.48,169,179,0
0,0,1,0,0,1,0,"June 04, 2022",Unknown Channel,286,286,1,0,117,0
0,0,1,0,0,1,0,"June 04, 2022",Natural Search,86,86,1,0,301,0
0,0,1,0,0,1,0,"June 04, 2022",Direct,41,41,0.63,15,180,0
0,0,1,0,0,1,0,"June 04, 2022",Display OA,16,16,1,0,171,0
0,0,1,0,0,1,0,"June 04, 2022",Paid Search,2,2,1,0,36,0
0,0,1,0,0,1,0,,,,,,,,
0,0,1,0,1,0,0,"June 04, 2022",Unknown Channel,5567,5567,0.13,4866,86,0.283697953
0,0,1,0,1,0,0,"June 04, 2022",Referring Domains,804,804,0.74,208,114,0.091872792
0,0,1,0,1,0,0,"June 04, 2022",Natural Search,294,294,0.45,161,89,0.131672598
0,0,1,0,1,0,0,"June 04, 2022",Display OA,213,213,0.16,178,111,0.433497537
0,0,1,0,1,0,0,"June 04, 2022",Social Networks,86,86,0.73,23,108,0.088709677
0,0,1,0,1,0,0,"June 04, 2022",Paid Search,50,50,0.06,47,76,0.285714286
0,0,1,0,1,0,0,"June 04, 2022",Direct,36,36,0.25,27,193,0.132075472
0,0,1,0,1,0,0,,,,,,,,
0,0,1,1,0,0,0,"June 04, 2022",Referring Domains,936,936,0.88,117,9,0.001908397
0,0,1,1,0,0,0,"June 04, 2022",Social Networks,352,352,0.52,170,3,0.00273224
0,0,1,1,0,0,0,"June 04, 2022",Natural Search,85,85,0.94,5,11,0
0,0,1,1,0,0,0,"June 04, 2022",Unknown Channel,77,77,1,0,6,0
0,0,1,1,0,0,0,"June 04, 2022",Direct,32,32,0.41,19,6,0
