Return Visits,Mobile Phone,Non-Mobile Phone,MOFA Page Template,Showroom Page Template,Configuration Load,DCC,Date,Channel,Visits,Unique Visitors,Share of Non-Single Page Visits,Single Page Visits,Time Spent per Visit,Bounce Rate
0,1,0,0,0,0,0,"June 05, 2022",Display OA,40628,40628,0.18,33489,126,0.670417642
0,1,0,0,0,0,0,"June 05, 2022",Referring Domains,34831,34831,0.81,6577,346,0.05531139
0,1,0,0,0,0,0,"June 05, 2022",Unknown Channel,30058,30058,0.17,25027,82,0.278974324
0,1,0,0,0,0,0,"June 05, 2022",Natural Search,27386,27386,0.47,14547,182,0.224099228
0,1,0,0,0,0,0,"June 05, 2022",Paid Search,10093,10093,0.45,5594,140,0.249896694
0,1,0,0,0,0,0,"June 05, 2022",Social Networks,6941,6941,0.31,4794,119,0.403223422
0,1,0,0,0,0,0,"June 05, 2022",Direct,6614,6614,0.61,2604,166,0.171303296
0,1,0,0,0,0,0,"June 05, 2022",Social Paid,3453,3453,0.29,2459,114,0.253012048
0,1,0,0,0,0,1,"June 05, 2022",Referring Domains,768,768,1,0,103,0
0,1,0,0,0,0,1,"June 05, 2022",Natural Search,21,21,1,0,196,0
0,1,0,0,0,0,1,"June 05, 2022",Social Networks,6,6,1,0,0,0
0,1,0,0,0,0,1,"June 05, 2022",Paid Search,4,4,1,0,0,0
0,1,0,0,0,0,1,"June 05, 2022",Direct,3,3,0.67,1,4,0.02173913
0,1,0,0,0,0,1,"June 05, 2022",Display OA,0,0,0,0,0,0
0,1,0,0,0,0,1,"June 05, 2022",Unknown Channel,0,0,0,0,0,0
0,1,0,0,0,0,1,"June 05, 2022",Social Paid,0,0,0,0,0,0
0,1,0,0,0,1,0,"June 05, 2022",Referring Domains,14585,14585,0.95,780,590,0
0,1,0,0,0,1,0,"June 05, 2022",Natural Search,5644,5644,0.99,54,417,0
0,1,0,0,0,1,0,"June 05, 2022",Direct,1556,1556,0.89,177,294,0
0,1,0,0,0,1,0,"June 05, 2022",Unknown Channel,1532,1532,1,0,111,0
0,1,0,0,0,1,0,"June 05, 2022",Social Networks,1508,1508,0.53,702,168,0
0,1,0,0,0,1,0,"June 05, 2022",Paid Search,1164,1164,1,0,228,0
